Race,Driver,LapNumber,Throttle_Rate,Coasting_Pct,Speed_Variance,Brake_Freq_Per_Km,High_Throttle_Pct,Brake_Duration_Per_Km,Avg_Speed_Std,DRS_Efficiency,Avg_Throttle_S1,Avg_Throttle_S2,Avg_Throttle_S3,Brake_Percentage_S1,Brake_Percentage_S2,Brake_Percentage_S3,Speed_Std_S1,Speed_Std_S2,Speed_Std_S3
Monaco,ALO,43.0,0.8339187153348775,2.2413793103448274,452.9862197351667,7.909197887298948,32.41379310344827,0.0854906668189475,61.438805314817,0.0,50.79080325457785,42.964248667866094,53.2389293478454,34.756097560975604,27.074235807860266,23.783783783783782,53.161628178582326,72.72533322001222,58.05411899217605
Monaco,LEC,46.0,0.8618365680076515,0.34904013961605584,418.8705118522259,8.516947672417686,37.52181500872601,0.0913060957152731,61.27000330910548,0.0,58.92568970693188,49.57429435421363,61.80383834641708,31.92771084337349,31.674208144796378,26.486486486486488,52.02124052819855,74.96166025815351,56.82710914096442
Monaco,VER,23.0,0.8351418223544714,6.920415224913495,371.4614715385706,7.311774432260926,32.52595155709342,0.0753736839542468,59.84053310582476,0.0,45.1147129492739,44.77246321067479,53.4053145581332,30.17751479289941,24.43438914027149,20.32085561497326,51.35437166194195,71.07635654814511,57.09087110738715
Monza,ALO,43.0,0.3475362455928075,0.45941807044410415,203.3446537506729,2.43719857812153,64.77794793261869,0.0245266100620412,72.31126009364918,0.0,75.08343407325303,69.67001662789271,80.87445085255099,12.796208530805686,17.391304347826086,11.848341232227488,98.3641375369017,67.63043030813843,50.93921243590744
Monza,LEC,38.0,0.3087290746655152,1.2461059190031152,171.74074541441837,2.089356153298163,64.33021806853583,0.0263067947650469,74.91643676681434,36.25039994045828,74.45872089207843,69.46247031108582,81.77992442811153,12.093023255813954,20.869565217391305,11.73469387755102,101.17790030695082,70.54940990170076,53.02200009179136
Monza,VER,33.0,0.3069694309095694,1.5649452269170578,252.46849899197264,2.435489531555442,63.84976525821596,0.027768827656903,65.96945233540445,0.0,72.3099438609858,64.52964352944876,81.96904396418995,17.22488038277512,19.36936936936937,11.11111111111111,93.27781925242569,60.049783364772985,44.580754389014665
Silverstone,ALO,48.0,0.39068301008226153,2.4113475177304964,37.27313814585185,2.7591571924425926,59.57446808510638,0.0237267950059336,73.59077788032738,5.563963784887262,69.606692876517,74.56891055882276,69.13976006641622,17.62295081967213,9.691629955947135,13.733905579399142,82.15133585844653,72.16319091920592,66.57387648727043
Silverstone,LEC,48.0,0.35086900139706717,1.1347517730496455,30.1106919830649,3.0999418893634574,58.86524822695035,0.0280924599902913,73.81034484648195,4.572268558390833,69.55384995394358,75.8831661612974,72.35509854801941,19.58333333333333,12.554112554112551,16.738197424892704,82.8845184218107,70.81990303665836,67.72661308097695
Silverstone,VER,42.0,0.3446313035184346,2.158273381294964,52.02831881611053,2.757959708800911,64.02877697841727,0.0233136881859069,65.74867203179203,0.0,71.03613515106842,77.69755367111141,74.67339605129332,16.877637130801688,9.865470852017935,13.675213675213676,73.55733533925506,63.473410856807845,60.21526989931308
