Race,Driver,DRS_Speed_Avg,Non_DRS_Speed_Avg,Speed_Delta
Monaco,VER,,154.46638630275356,
Monaco,LEC,,157.92959516382885,
Monaco,ALO,,154.20736578116475,
Monza,VER,,242.00768098906394,
Monza,LEC,315.822646494979,220.17127967389436,95.65136682108462
Monza,ALO,,240.06564414352525,
Silverstone,VER,,230.99941891856324,
Silverstone,LEC,238.4214313132541,224.8408208717358,13.580610441518303
Silverstone,ALO,241.36314417617479,224.0319888972919,17.331155278882875
