Driver,Avg_Speed,Avg_Throttle,Brake_Percentage,Avg_RPM,Max_RPM,DRS_Usage
VER,154.46638630275356,47.761063460825824,24.74048442906574,9337.048061141682,11756.0,0.0
LEC,157.92959516382885,56.319884184500985,30.017452006980804,9581.007905546356,12085.0,0.0
ALO,154.20736578116475,48.64972044421294,28.10344827586207,9343.251614438634,11819.0,0.0
